2024-03-22 13:47:52,759 INFO    StreamThr :32283 [internal.py:wandb_internal():89] W&B internal server running at pid: 32283, started at: 2024-03-22 13:47:52.758937
2024-03-22 13:47:52,760 DEBUG   HandlerThread:32283 [handler.py:handle_request():146] handle_request: status
2024-03-22 13:47:52,762 INFO    WriterThread:32283 [datastore.py:open_for_write():87] open: /home/gskim/3D/manhattan_sdf_renew/wandb/run-20240322_134752-uxd1yczu/run-uxd1yczu.wandb
2024-03-22 13:47:52,762 DEBUG   SenderThread:32283 [sender.py:send():378] send: header
2024-03-22 13:47:52,770 DEBUG   SenderThread:32283 [sender.py:send():378] send: run
2024-03-22 13:47:53,309 INFO    SenderThread:32283 [dir_watcher.py:__init__():211] watching files in: /home/gskim/3D/manhattan_sdf_renew/wandb/run-20240322_134752-uxd1yczu/files
2024-03-22 13:47:53,309 INFO    SenderThread:32283 [sender.py:_start_run_threads():1102] run started: uxd1yczu with start time 1711082872.758545
2024-03-22 13:47:53,315 DEBUG   HandlerThread:32283 [handler.py:handle_request():146] handle_request: check_version
2024-03-22 13:47:53,315 DEBUG   SenderThread:32283 [sender.py:send_request():405] send_request: check_version
2024-03-22 13:47:53,382 DEBUG   HandlerThread:32283 [handler.py:handle_request():146] handle_request: run_start
2024-03-22 13:47:53,389 DEBUG   HandlerThread:32283 [system_info.py:__init__():26] System info init
2024-03-22 13:47:53,389 DEBUG   HandlerThread:32283 [system_info.py:__init__():41] System info init done
2024-03-22 13:47:53,389 INFO    HandlerThread:32283 [system_monitor.py:start():194] Starting system monitor
2024-03-22 13:47:53,389 INFO    SystemMonitor:32283 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-22 13:47:53,391 INFO    HandlerThread:32283 [system_monitor.py:probe():214] Collecting system info
2024-03-22 13:47:53,392 INFO    SystemMonitor:32283 [interfaces.py:start():190] Started cpu monitoring
2024-03-22 13:47:53,394 INFO    SystemMonitor:32283 [interfaces.py:start():190] Started disk monitoring
2024-03-22 13:47:53,400 INFO    SystemMonitor:32283 [interfaces.py:start():190] Started gpu monitoring
2024-03-22 13:47:53,404 INFO    SystemMonitor:32283 [interfaces.py:start():190] Started memory monitoring
2024-03-22 13:47:53,404 INFO    SystemMonitor:32283 [interfaces.py:start():190] Started network monitoring
2024-03-22 13:47:53,432 DEBUG   HandlerThread:32283 [system_info.py:probe():150] Probing system
2024-03-22 13:47:53,432 DEBUG   HandlerThread:32283 [system_info.py:_probe_git():135] Probing git
2024-03-22 13:47:53,440 DEBUG   HandlerThread:32283 [system_info.py:_probe_git():143] Probing git done
2024-03-22 13:47:53,440 DEBUG   HandlerThread:32283 [system_info.py:probe():198] Probing system done
